Datum,Solskenstid
2014-07-06,1482.7824074074074
2014-07-07,1663.0925925925926
2014-07-08,2003.9490740740741
2014-07-09,2397.4444444444443
2014-07-10,2280.046296296296
2014-07-11,2212.5185185185187
2014-07-12,2106.171296296296
2014-07-13,371.65277777777777
2014-07-14,903.3611111111111
2014-07-15,1076.7824074074074
2014-07-16,1716.3703703703704
2014-07-17,1748.9351851851852
2014-07-18,2064.1944444444443
2014-07-19,1886.8009259259259
2014-07-20,2025.0740740740741
2014-07-21,2006.9583333333333
2014-07-22,2157.4814814814813
2014-07-23,2283.4583333333335
2014-07-24,2118.1111111111113
2014-07-25,2249.060185185185
2014-07-26,1934.037037037037
2014-07-27,1033.712962962963
2014-07-28,1555.1759259259259
2014-07-29,1759.8564814814815
2014-07-30,1374.1574074074074
