Datum,Lufttemperatur
2014-07-02,14.758571428571427
2014-07-03,14.791428571428574
2014-07-04,16.72112676056338
2014-07-05,19.240845070422534
2014-07-06,19.68285714285714
2014-07-07,20.32714285714286
2014-07-08,21.535211267605632
2014-07-09,22.2
2014-07-10,21.09285714285714
2014-07-11,18.707042253521127
2014-07-12,17.109859154929577
2014-07-13,17.54225352112676
2014-07-14,17.604225352112678
2014-07-15,17.547887323943662
2014-07-16,18.60845070422535
2014-07-17,17.977464788732394
2014-07-18,18.685915492957747
2014-07-19,18.598591549295776
2014-07-20,19.788732394366196
2014-07-21,20.56338028169014
2014-07-22,21.44929577464789
2014-07-23,22.007042253521128
2014-07-24,22.483098591549297
2014-07-25,23.164788732394367
2014-07-26,22.463380281690142
2014-07-27,20.885915492957746
2014-07-28,21.43943661971831
